
Names,Path,Files,Volume GB
.git,D:\\Research\\ayush-vision\.git,318,0.5388584136962891
Algorithums,D:\\Research\\ayush-vision\Algorithums,1,0.0010576248168945312
config,D:\\Research\\ayush-vision\config,2,0.0025529861450195312
DataSet,D:\\Research\\ayush-vision\DataSet,5,0.019674301147460938
Summary,D:\\Research\\ayush-vision\Summary,1,5.53131103515625e-05
Testing,D:\\Research\\ayush-vision\Testing,1,0.0018777847290039062
Util,D:\\Research\\ayush-vision\Util,4,0.8790960311889648
Names,Path,Files,Volume MB
.git,D:\\Research\\ayush-vision\.git,332,0.6100578308105469
Algorithums,D:\\Research\\ayush-vision\Algorithums,1,0.0010576248168945312
config,D:\\Research\\ayush-vision\config,2,0.0025529861450195312
DataSet,D:\\Research\\ayush-vision\DataSet,5,0.01775360107421875
Summary,D:\\Research\\ayush-vision\Summary,2,0.006728172302246094
Testing,D:\\Research\\ayush-vision\Testing,1,0.0018777847290039062
Util,D:\\Research\\ayush-vision\Util,4,0.8790960311889648
Names,Path,Files,Volume MB,subfolders
.git,D:\\Research\\ayush-vision\.git,332,0.6100578308105469,6
Algorithums,D:\\Research\\ayush-vision\Algorithums,1,0.0010576248168945312,1
config,D:\\Research\\ayush-vision\config,2,0.0025529861450195312,0
DataSet,D:\\Research\\ayush-vision\DataSet,5,0.01775360107421875,2
Summary,D:\\Research\\ayush-vision\Summary,2,0.006728172302246094,1
Testing,D:\\Research\\ayush-vision\Testing,1,0.0018777847290039062,0
Util,D:\\Research\\ayush-vision\Util,4,0.8790960311889648,0
