,name,flowers,leaves,plants,roots,raw_fruits,tumber
0,Adamant Creeper,177.0,730.0,594.0,0.0,0.0,0.0
1,Alovera,0.0,513.0,1000.0,0.0,0.0,0.0
2,Betel,0.0,750.0,750.0,0.0,0.0,0.0
3,Black-Honey Shrub,0.0,620.0,897.0,0.0,0.0,0.0
4,385,0.0,500.0,615.0,0.0,0.0,0.0
5,Cat whiskers,427.0,296.0,387.0,0.0,0.0,0.0
6,Cinnamon,0.0,877.0,623.0,0.0,0.0,0.0
7,erukku,0.0,0.0,0.0,0.0,0.0,0.0
8,ginger,0.0,535.0,766.0,200.0,0.0,0.0
9,Henna,0.0,750.0,750.0,0.0,0.0,0.0
10,Hibiscus,300.0,650.0,545.0,0.0,0.0,0.0
11,Holy Basil,414.0,219.0,681.0,0.0,0.0,0.0
12,Indian acalypha,300.0,550.0,650.0,0.0,0.0,0.0
13,indian Mallow,400.0,500.0,600.0,0.0,0.0,0.0
14,ivy gourd,0.0,550.0,732.0,0.0,218.0,0.0
15,Landrina,0.0,750.0,750.0,0.0,0.0,0.0
16,Lemon grass,0.0,718.0,713.0,0.0,0.0,0.0
17,lime,0.0,555.0,603.0,0.0,234.0,0.0
18,long Pepper,0.0,618.0,660.0,0.0,231.0,0.0
19,Miracle Leaf,0.0,760.0,740.0,0.0,0.0,0.0
20,Mountain Knotgrass,0.0,529.0,990.0,0.0,0.0,0.0
21,Neem,171.0,635.0,617.0,0.0,0.0,0.0
22,Oregano,0.0,750.0,751.0,0.0,0.0,0.0
23,200,200.0,500.0,600.0,0.0,0.0,0.0
24,Red Pea Eggplant,206.0,538.0,655.0,0.0,136.0,0.0
25,Ringworm Plant,300.0,500.0,601.0,0.0,200.0,0.0
26,Seeds under leaves,0.0,760.0,741.0,0.0,0.0,0.0
27,Sleepy Plant,207.0,0.0,1112.0,0.0,0.0,0.0
28,tall perennial grass,0.0,601.0,712.0,226.0,0.0,0.0
29,132,215.0,516.0,637.0,0.0,0.0,0.0
30,turmeric,0.0,499.0,802.0,200.0,0.0,0.0
31,Vitex negundo,200.0,648.0,663.0,0.0,0.0,0.0
32,Wild Turmaric,0.0,595.0,1114.0,0.0,0.0,282.0
