,Names,Files,Eligible,extra
0,Adamant Creeper,1501,True,1
1,Alovera,1513,True,13
2,Betel,1500,True,0
3,Black-Honey Shrub,1517,True,17
4,Caster,1500,True,0
6,Cinnamon,1500,True,0
8,ginger,1501,True,1
9,Henna,1500,True,0
12,Indian acalypha,1500,True,0
13,indian Mallow,1500,True,0
14,ivy gourd,1500,True,0
15,Landrina,1500,True,0
18,long Pepper,1509,True,9
19,Miracle Leaf,1500,True,0
20,Mountain Knotgrass,1519,True,19
22,Oregano,1501,True,1
23,Pedalium murex,1500,True,0
24,Red Pea Eggplant,1535,True,35
25,Ringworm Plant,1601,True,101
26,Seeds under leaves,1501,True,1
28,tall perennial grass,1539,True,39
29,Thorn Apple,1500,True,0
30,turmeric,1501,True,1
31,Vitex negundo,1511,True,11
32,Wild Turmaric,1991,True,491
