Names,counts
Adamant Creeper,1525
Alovera,1513
Betel,1500
Black-Honey Shrub,1517
Calotropis gigantea,1500
Caster,1497
Cinnamon,1500
ginger,1501
Henna,1500
Hibiscus,1501
Holy Basil,1501
Indian acalypha,1500
indian Mallow,1500
ivy gourd,1500
Landrina,1500
Lemon grass,1501
lime,1499
long Pepper,1509
Miracle Leaf,1500
Mountain Knotgrass,1519
Neem,1586
Oregano,1501
Pedalium murex,1500
Red Pea Eggplant,1535
Ringworm Plant,1601
Seeds under leaves,1501
Sleepy Plant,1873
tall perennial grass,1539
Thorn Apple,1500
turmeric,1501
Vitex negundo,1511
Wild Turmaric,1510
