Names,VolumeKB,VolumeMB,VolumeGB
AdamantCreeper,4.821640509180725,5055856.5185546875,4937.359881401062
Alovera,4.844363186508417,5079682.97265625,4960.627902984619
Betel,4.355446450412273,4567016.6171875,4459.977165222168
Black-HoneyShrub,4.424869284033775,4639811.734375,4531.066146850586
Calotropisgigantea,7.194335773587227,7543807.828125,7366.99983215332
Caster,5.183218250982463,5434998.2607421875,5307.6154890060425
Cinnamon,4.4096250385046005,4623826.984375,4515.456039428711
ginger,4.4972913805395365,4715751.806640625,4605.226373672485
Henna,4.256869252771139,4463650.93359375,4359.0341148376465
Hibiscus,4.480548650957644,4698195.7822265625,4588.081818580627
HolyBasil,4.874232874251902,5111003.6103515625,4991.214463233948
indian Mallow,5.19551242236048,5447889.6337890625,5320.204720497131
Indianacalypha,3.7994639864191413,3984026.7490234375,3890.6511220932007
ivy gourd,3.9001894360408187,4089645.0380859375,3993.7939825057983
Landrina,4.213077673688531,4417732.134765625,4314.191537857056
Lemongrass,4.9524683970957994,5193039.501953125,5071.327638626099
lime,4.463117589242756,4679917.9892578125,4570.2324113845825
longPepper,4.459096920676529,4675702.0126953125,4566.115246772766
MiracleLeaf,4.853316185995936,5089070.873046875,4969.795774459839
MountainKnotgrass,4.057760102674365,4254869.857421875,4155.14634513855
Neem,5.827026990242302,6110080.6533203125,5966.875638008118
Oregano,3.843934366479516,4030657.322265625,3936.1887912750244
Pedaliummurex,4.243562747724354,4449698.0517578125,4345.408253669739
RedPeaEggplant,4.479268244467676,4696853.1787109375,4586.7706823349
RingwormPlant,5.574020975269377,5844784.6181640625,5707.797478675842
Seedsunderleaves,4.703477562405169,4931953.6884765625,4816.361023902893
SleepyPlant,5.156319731846452,5406793.119140625,5280.071405410767
tallperennialgrass,5.21566079556942,5469016.734375,5340.836654663086
ThornApple,5.902182913385332,6188887.3505859375,6043.83530330658
turmeric,6.3287744438275695,6636200.9912109375,6480.665030479431
Vitexnegundo,4.5584712866693735,4779903.587890625,4667.8745975494385
WildTurmaric,5.259533233009279,5515020.3193359375,5385.7620306015015
