Names,counts
AdamantCreeper,1500
Alovera,1500
Betel,1500
Black-HoneyShrub,1500
Calotropisgigantea,1500
Caster,1497
Cinnamon,1500
ginger,1500
Henna,1500
Hibiscus,1500
HolyBasil,1500
indian Mallow,1500
Indianacalypha,1500
ivy gourd,1499
Landrina,1500
Lemongrass,1500
lime,1499
longPepper,1500
MiracleLeaf,1500
MountainKnotgrass,1500
Neem,1500
Oregano,1500
Pedaliummurex,1499
RedPeaEggplant,1500
RingwormPlant,1500
Seedsunderleaves,1500
SleepyPlant,1499
tallperennialgrass,1500
ThornApple,1500
turmeric,1494
Vitexnegundo,1500
WildTurmaric,1500
