Names,Path,Files,Volume MB,subfolders
AdamantCreeper,D:\\AYUSHWORKING\classification\AdamantCreeper,1500,4937.359881401062,1
Alovera,D:\\AYUSHWORKING\classification\Alovera,1500,4960.627902984619,1
Betel,D:\\AYUSHWORKING\classification\Betel,1500,4459.977165222168,1
Black-HoneyShrub,D:\\AYUSHWORKING\classification\Black-HoneyShrub,1500,4531.066146850586,1
Calotropisgigantea,D:\\AYUSHWORKING\classification\Calotropisgigantea,1500,7366.99983215332,1
Caster,D:\\AYUSHWORKING\classification\Caster,1497,5307.6154890060425,1
Cinnamon,D:\\AYUSHWORKING\classification\Cinnamon,1500,4515.456039428711,1
ginger,D:\\AYUSHWORKING\classification\ginger,1500,4605.226373672485,1
Henna,D:\\AYUSHWORKING\classification\Henna,1500,4359.0341148376465,1
Hibiscus,D:\\AYUSHWORKING\classification\Hibiscus,1500,4588.081818580627,1
HolyBasil,D:\\AYUSHWORKING\classification\HolyBasil,1500,4991.214463233948,1
indian Mallow,D:\\AYUSHWORKING\classification\indian Mallow,1500,5320.204720497131,1
Indianacalypha,D:\\AYUSHWORKING\classification\Indianacalypha,1500,3890.6511220932007,1
ivy gourd,D:\\AYUSHWORKING\classification\ivy gourd,1500,3993.7939825057983,1
Landrina,D:\\AYUSHWORKING\classification\Landrina,1500,4314.191537857056,1
Lemongrass,D:\\AYUSHWORKING\classification\Lemongrass,1500,5071.327638626099,1
lime,D:\\AYUSHWORKING\classification\lime,1499,4570.2324113845825,1
longPepper,D:\\AYUSHWORKING\classification\longPepper,1500,4566.115246772766,1
MiracleLeaf,D:\\AYUSHWORKING\classification\MiracleLeaf,1500,4969.795774459839,1
MountainKnotgrass,D:\\AYUSHWORKING\classification\MountainKnotgrass,1500,4155.14634513855,1
Neem,D:\\AYUSHWORKING\classification\Neem,1500,5966.875638008118,1
Oregano,D:\\AYUSHWORKING\classification\Oregano,1500,3936.1887912750244,1
Pedaliummurex,D:\\AYUSHWORKING\classification\Pedaliummurex,1500,4345.408253669739,1
RedPeaEggplant,D:\\AYUSHWORKING\classification\RedPeaEggplant,1500,4586.7706823349,1
RingwormPlant,D:\\AYUSHWORKING\classification\RingwormPlant,1500,5707.797478675842,1
Seedsunderleaves,D:\\AYUSHWORKING\classification\Seedsunderleaves,1500,4816.361023902893,1
SleepyPlant,D:\\AYUSHWORKING\classification\SleepyPlant,1500,5280.071405410767,1
tallperennialgrass,D:\\AYUSHWORKING\classification\tallperennialgrass,1500,5340.836654663086,1
ThornApple,D:\\AYUSHWORKING\classification\ThornApple,1500,6043.83530330658,1
turmeric,D:\\AYUSHWORKING\classification\turmeric,1494,6480.665030479431,1
Vitexnegundo,D:\\AYUSHWORKING\classification\Vitexnegundo,1500,4667.8745975494385,1
WildTurmaric,D:\\AYUSHWORKING\classification\WildTurmaric,1500,5385.7620306015015,1
