Speciesname,Path,Leaves,Plants,Flowers,rawFruits,Root
AdamantCreeper,D:\\AYUSHWORKING\classification\AdamantCreeper\plant,712,589,199,0,0
Alovera,D:\\AYUSHWORKING\classification\Alovera\Plants,509,991,0,0,0
Betel,D:\\AYUSHWORKING\classification\Betel\Plant,750,750,0,0,0
Black-HoneyShrub,D:\\AYUSHWORKING\classification\Black-HoneyShrub\plant,616,884,0,0,0
Calotropisgigantea,D:\\AYUSHWORKING\classification\Calotropisgigantea\plant,537,726,237,0,0
Caster,D:\\AYUSHWORKING\classification\Caster\seeds,500,612,0,385,0
Cinnamon,D:\\AYUSHWORKING\classification\Cinnamon\plant,877,623,0,0,0
ginger,D:\\AYUSHWORKING\classification\ginger\Root,534,766,0,0,200
Henna,D:\\AYUSHWORKING\classification\Henna\plant,750,750,0,0,0
Hibiscus,D:\\AYUSHWORKING\classification\Hibiscus\plant,594,606,300,0,0
HolyBasil,D:\\AYUSHWORKING\classification\HolyBasil\Plants,559,625,316,0,0
indian Mallow,D:\\AYUSHWORKING\classification\indian Mallow\plant,500,600,400,0,0
Indianacalypha,D:\\AYUSHWORKING\classification\Indianacalypha\plants,550,650,300,0,0
ivy gourd,D:\\AYUSHWORKING\classification\ivy gourd\plant,549,732,0,218,0
Landrina,D:\\AYUSHWORKING\classification\Landrina\plant,750,750,0,0,0
Lemongrass,D:\\AYUSHWORKING\classification\Lemongrass\Plant,750,750,0,0,0
lime,D:\\AYUSHWORKING\classification\lime\Plant,622,643,0,234,0
longPepper,D:\\AYUSHWORKING\classification\longPepper\plants,613,657,0,230,0
MiracleLeaf,D:\\AYUSHWORKING\classification\MiracleLeaf\Plant,760,740,0,0,0
MountainKnotgrass,D:\\AYUSHWORKING\classification\MountainKnotgrass\Plants,526,974,0,0,0
Neem,D:\\AYUSHWORKING\classification\Neem\plant,694,622,184,0,0
Oregano,D:\\AYUSHWORKING\classification\Oregano\plant,750,750,0,0,0
Pedaliummurex,D:\\AYUSHWORKING\classification\Pedaliummurex\seeds,500,599,200,200,0
RedPeaEggplant,D:\\AYUSHWORKING\classification\RedPeaEggplant\plant,509,612,189,190,0
RingwormPlant,D:\\AYUSHWORKING\classification\RingwormPlant\Plant,469,565,277,189,0
Seedsunderleaves,D:\\AYUSHWORKING\classification\Seedsunderleaves\plant,759,741,0,0,0
SleepyPlant,D:\\AYUSHWORKING\classification\SleepyPlant\Plant,471,870,158,0,0
tallperennialgrass,D:\\AYUSHWORKING\classification\tallperennialgrass\root,583,696,0,0,221
ThornApple,D:\\AYUSHWORKING\classification\ThornApple\seeds,488,611,208,193,0
turmeric,D:\\AYUSHWORKING\classification\turmeric\root,506,788,0,0,200
Vitexnegundo,D:\\AYUSHWORKING\classification\Vitexnegundo\plant,642,658,200,0,0
WildTurmaric,D:\\AYUSHWORKING\classification\WildTurmaric\plant,510,711,0,0,279
