Speciesname,Path,Leaves,Plants,Flowers,rawFruits
AdamantCreeper,E:\\Ddisk\AyushVision\AdamantCreeper\plant,718,592,200,0,0
Alovera,E:\\Ddisk\AyushVision\Alovera\Plants,509,999,0,0,0
Betel,E:\\Ddisk\AyushVision\Betel\Plant,750,750,0,0,0
Black-HoneyShrub,E:\\Ddisk\AyushVision\Black-HoneyShrub\plant,619,893,0,0,0
Calotropisgigantea,E:\\Ddisk\AyushVision\Calotropisgigantea\plant,537,725,237,0,0
Caster,E:\\Ddisk\AyushVision\Caster\seeds,495,610,0,385,0
Cinnamon,E:\\Ddisk\AyushVision\Cinnamon\plant,877,620,0,0,0
ginger,E:\\Ddisk\AyushVision\ginger\Root,535,765,0,0,0
Henna,E:\\Ddisk\AyushVision\Henna\plant,750,748,0,0,0
Hibiscus,E:\\Ddisk\AyushVision\Hibiscus\plant,594,607,300,0,0
HolyBasil,E:\\Ddisk\AyushVision\HolyBasil\Plants,574,600,328,0,0
indian Mallow,E:\\Ddisk\AyushVision\indian Mallow\plant,499,598,398,0,0
Indianacalypha,E:\\Ddisk\AyushVision\Indianacalypha\plants,548,650,300,0,0
ivy gourd,E:\\Ddisk\AyushVision\ivy gourd\plant,548,729,0,218,0
Landrina,E:\\Ddisk\AyushVision\Landrina\plant,747,749,0,0,0
Lemongrass,E:\\Ddisk\AyushVision\Lemongrass\Plant,751,748,0,0,0
lime,E:\\Ddisk\AyushVision\lime\Plant,621,641,0,233,0
longPepper,E:\\Ddisk\AyushVision\longPepper\plants,614,658,0,229,0
MiracleLeaf,E:\\Ddisk\AyushVision\MiracleLeaf\Plant,759,735,0,0,0
MountainKnotgrass,E:\\Ddisk\AyushVision\MountainKnotgrass\Plants,527,976,0,0,0
Neem,E:\\Ddisk\AyushVision\Neem\plant,746,637,200,0,0
Oregano,E:\\Ddisk\AyushVision\Oregano\plant,750,750,0,0,0
Pedaliummurex,E:\\Ddisk\AyushVision\Pedaliummurex\seeds,500,598,200,200,0
RedPeaEggplant,E:\\Ddisk\AyushVision\RedPeaEggplant\plant,539,650,206,200,0
RingwormPlant,E:\\Ddisk\AyushVision\RingwormPlant\Plant,500,600,300,200,0
Seedsunderleaves,E:\\Ddisk\AyushVision\Seedsunderleaves\plant,759,736,0,0,0
SleepyPlant,E:\\Ddisk\AyushVision\SleepyPlant\Plant,547,1056,200,0,0
tallperennialgrass,E:\\Ddisk\AyushVision\tallperennialgrass\root,601,704,0,0,0
ThornApple,E:\\Ddisk\AyushVision\ThornApple\seeds,506,635,215,200,0
turmeric,E:\\Ddisk\AyushVision\turmeric\root,506,788,0,0,0
Vitexnegundo,E:\\Ddisk\AyushVision\Vitexnegundo\plant,648,663,200,0,0
WildTurmaric,E:\\Ddisk\AyushVision\WildTurmaric\plant,514,712,0,0,0
