Names,VolumeKB,VolumeMB,VolumeGB
AdamantCreeper,4.800658414140344,5033855.197265625,4915.874216079712
Alovera,4.862680432386696,5098889.9970703125,4979.384762763977
Betel,4.352908508852124,4564355.392578125,4457.378313064575
Black-HoneyShrub,4.453688454814255,4670030.8251953125,4560.576977729797
Calotropisgigantea,7.190027649514377,7539290.4326171875,7362.588313102722
Caster,5.131837259046733,5381121.3857421875,5255.001353263855
Cinnamon,4.378371742554009,4591055.5283203125,4483.452664375305
ginger,4.4878762774169445,4705879.35546875,4595.585308074951
Henna,4.2421685596928,4448236.1396484375,4343.980605125427
Hibiscus,4.4759533032774925,4693377.2109375,4583.376182556152
HolyBasil,4.8690237533301115,5105541.451171875,4985.880323410034
indian Mallow,5.147352437488735,5397390.2294921875,5270.888895988464
Indianacalypha,3.776859289035201,3960324.005859375,3867.503911972046
ivy gourd,3.8890417898073792,4077955.8837890625,3982.3787927627563
Landrina,4.196569180116057,4400421.724609375,4297.286840438843
Lemongrass,4.920074065215886,5159071.5830078125,5038.155842781067
lime,4.45225518848747,4668527.9365234375,4559.109313011169
longPepper,4.441795863211155,4657560.5390625,4548.398963928223
MiracleLeaf,4.805047893896699,5038457.900390625,4920.36904335022
MountainKnotgrass,4.104844018816948,4304240.921875,4203.360275268555
Neem,6.119843126274645,6417120.6259765625,6266.719361305237
Oregano,3.839112263172865,4025600.98046875,3931.2509574890137
Pedaliummurex,4.239437411539257,4445372.3232421875,4341.183909416199
RedPeaEggplant,4.777761593461037,5009846.140625,4892.427871704102
RingwormPlant,5.928390911780298,6216368.4287109375,6070.672293663025
Seedsunderleaves,4.687328973785043,4915020.666015625,4799.824869155884
SleepyPlant,6.2204783810302615,6522644.3388671875,6369.769862174988
tallperennialgrass,5.319403018802404,5577798.33984375,5447.068691253662
ThornApple,6.148637889884412,6447314.1240234375,6296.205199241638
turmeric,6.3287744438275695,6636200.9912109375,6480.665030479431
Vitexnegundo,4.596429508179426,4819705.66796875,4706.743816375732
WildTurmaric,5.28440008405596,5541095.1025390625,5411.225686073303
