Names,Path,Files,Volume MB,subfolders
AdamantCreeper,D:\\AYUSHWORKING\classification\AdamantCreeper,1500,13.719488143920898,1
Alovera,D:\\AYUSHWORKING\classification\Alovera,1500,16.058058738708496,1
Betel,D:\\AYUSHWORKING\classification\Betel,1500,14.237924575805664,1
Black-HoneyShrub,D:\\AYUSHWORKING\classification\Black-HoneyShrub,1500,16.41618061065674,1
Calotropisgigantea,D:\\AYUSHWORKING\classification\Calotropisgigantea,1501,17.071361541748047,1
Caster,D:\\AYUSHWORKING\classification\Caster,1501,14.888856887817383,1
Cinnamon,D:\\AYUSHWORKING\classification\Cinnamon,1501,12.90330982208252,1
ginger,D:\\AYUSHWORKING\classification\ginger,1501,13.591835021972656,1
Henna,D:\\AYUSHWORKING\classification\Henna,1501,12.22691822052002,1
Hibiscus,D:\\AYUSHWORKING\classification\Hibiscus,1500,13.958934783935547,1
HolyBasil,D:\\AYUSHWORKING\classification\HolyBasil,1500,13.168745994567871,1
indian Mallow,D:\\AYUSHWORKING\classification\indian Mallow,1501,11.671808242797852,1
Indianacalypha,D:\\AYUSHWORKING\classification\Indianacalypha,1501,11.391983032226562,1
ivy gourd,D:\\AYUSHWORKING\classification\ivy gourd,1501,12.642189979553223,1
Landrina,D:\\AYUSHWORKING\classification\Landrina,1501,13.167855262756348,1
Lemongrass,D:\\AYUSHWORKING\classification\Lemongrass,1501,16.390719413757324,1
lime,D:\\AYUSHWORKING\classification\lime,1501,12.377250671386719,1
longPepper,D:\\AYUSHWORKING\classification\longPepper,1500,15.441435813903809,1
MiracleLeaf,D:\\AYUSHWORKING\classification\MiracleLeaf,1501,13.791481018066406,1
MountainKnotgrass,D:\\AYUSHWORKING\classification\MountainKnotgrass,1500,17.76436996459961,1
Neem,D:\\AYUSHWORKING\classification\Neem,1500,14.089393615722656,1
Oregano,D:\\AYUSHWORKING\classification\Oregano,1500,13.139195442199707,1
Pedaliummurex,D:\\AYUSHWORKING\classification\Pedaliummurex,1501,13.065099716186523,1
RedPeaEggplant,D:\\AYUSHWORKING\classification\RedPeaEggplant,1500,15.809975624084473,1
RingwormPlant,D:\\AYUSHWORKING\classification\RingwormPlant,1500,13.09338092803955,1
Seedsunderleaves,D:\\AYUSHWORKING\classification\Seedsunderleaves,1501,14.871650695800781,1
SleepyPlant,D:\\AYUSHWORKING\classification\SleepyPlant,1500,16.37426471710205,1
tallperennialgrass,D:\\AYUSHWORKING\classification\tallperennialgrass,1500,17.451993942260742,1
ThornApple,D:\\AYUSHWORKING\classification\ThornApple,1500,16.229905128479004,1
turmeric,D:\\AYUSHWORKING\classification\turmeric,1501,15.230071067810059,1
Vitexnegundo,D:\\AYUSHWORKING\classification\Vitexnegundo,1500,13.19433307647705,1
WildTurmaric,D:\\AYUSHWORKING\classification\WildTurmaric,1500,17.97990894317627,1
