Names,VolumeKB,VolumeMB,VolumeGB
AdamantCreeper,0.011668890714645386,12235.71875,11.948944091796875
Alovera,0.01366467121988535,14328.4462890625,13.992623329162598
Betel,0.012158000841736794,12748.587890625,12.449792861938477
Black-HoneyShrub,0.014005188830196857,14685.5048828125,14.341313362121582
Calotropisgigantea,0.014608804136514664,15318.44140625,14.959415435791016
Caster,0.012721340171992779,13339.2919921875,13.026652336120605
Cinnamon,0.010959385894238949,11491.7490234375,11.222411155700684
ginger,0.011567134410142899,12129.01953125,11.844745635986328
Henna,0.010408940725028515,10914.5654296875,10.6587553024292
Hibiscus,0.011920548975467682,12499.6015625,12.206642150878906
HolyBasil,0.01126125454902649,11808.28125,11.531524658203125
indian Mallow,0.009944403544068336,10427.462890625,10.183069229125977
Indianacalypha,0.00969229731708765,10163.1103515625,9.924912452697754
ivy gourd,0.010797291994094849,11321.78125,11.056427001953125
Landrina,0.011225534602999687,11770.826171875,11.49494743347168
Lemongrass,0.01401244942098856,14693.1181640625,14.348748207092285
lime,0.01056711282581091,11080.4208984375,10.820723533630371
longPepper,0.013131617568433285,13769.4990234375,13.446776390075684
MiracleLeaf,0.01174918096512556,12319.9091796875,12.031161308288574
MountainKnotgrass,0.01517051924020052,15907.4423828125,15.534611701965332
Neem,0.012014253064990044,12597.857421875,12.302595138549805
Oregano,0.011272233910858631,11819.7939453125,11.542767524719238
Pedaliummurex,0.011168375611305237,11710.890625,11.436416625976562
RedPeaEggplant,0.013494519516825676,14150.029296875,13.818387985229492
RingwormPlant,0.011175509542226791,11718.37109375,11.443721771240234
Seedsunderleaves,0.012685968540608883,13302.2021484375,12.990431785583496
SleepyPlant,0.014011694118380547,14692.326171875,14.34797477722168
tallperennialgrass,0.014903225004673004,15627.1640625,15.260902404785156
ThornApple,0.013948884792625904,14626.4658203125,14.283658027648926
turmeric,0.013031583279371262,13664.60546875,13.344341278076172
Vitexnegundo,0.011257627978920937,11804.478515625,11.527811050415039
WildTurmaric,0.015328644774854183,16073.2490234375,15.696532249450684
