Speciesname,Path,Leaves,Plants,Flowers,rawFruits,Root
AdamantCreeper,D:\\AYUSHWORKING\AYUSHREADY\train\AdamantCreeper\plant,498,410,140,0,0
Alovera,D:\\AYUSHWORKING\AYUSHREADY\train\Alovera\Plants,353,696,0,0,0
Betel,D:\\AYUSHWORKING\AYUSHREADY\train\Betel\Plant,525,525,0,0,0
Black-HoneyShrub,D:\\AYUSHWORKING\AYUSHREADY\train\Black-HoneyShrub\plant,430,619,0,0,0
Calotropisgigantea,D:\\AYUSHWORKING\AYUSHREADY\train\Calotropisgigantea\plant,375,507,165,0,0
Caster,D:\\AYUSHWORKING\AYUSHREADY\train\Caster\seeds,346,429,0,273,0
Cinnamon,D:\\AYUSHWORKING\AYUSHREADY\train\Cinnamon\plant,616,433,0,0,0
ginger,D:\\AYUSHWORKING\AYUSHREADY\train\ginger\Root,375,534,0,0,139
Henna,D:\\AYUSHWORKING\AYUSHREADY\train\Henna\plant,525,523,0,0,0
Hibiscus,D:\\AYUSHWORKING\AYUSHREADY\train\Hibiscus\plant,415,423,210,0,0
HolyBasil,D:\\AYUSHWORKING\AYUSHREADY\train\HolyBasil\Plants,401,419,228,0,0
indian Mallow,D:\\AYUSHWORKING\AYUSHREADY\train\indian Mallow\plant,350,420,278,0,0
Indianacalypha,D:\\AYUSHWORKING\AYUSHREADY\train\Indianacalypha\plants,385,455,210,0,0
ivy gourd,D:\\AYUSHWORKING\AYUSHREADY\train\ivy gourd\plant,385,511,0,152,0
Landrina,D:\\AYUSHWORKING\AYUSHREADY\train\Landrina\plant,525,525,0,0,0
Lemongrass,D:\\AYUSHWORKING\AYUSHREADY\train\Lemongrass\Plant,526,522,0,0,0
lime,D:\\AYUSHWORKING\AYUSHREADY\train\lime\Plant,434,450,0,163,0
longPepper,D:\\AYUSHWORKING\AYUSHREADY\train\longPepper\plants,429,459,0,160,0
MiracleLeaf,D:\\AYUSHWORKING\AYUSHREADY\train\MiracleLeaf\Plant,533,515,0,0,0
MountainKnotgrass,D:\\AYUSHWORKING\AYUSHREADY\train\MountainKnotgrass\Plants,367,681,0,0,0
Neem,D:\\AYUSHWORKING\AYUSHREADY\train\Neem\plant,499,418,131,0,0
Oregano,D:\\AYUSHWORKING\AYUSHREADY\train\Oregano\plant,525,525,0,0,0
Pedaliummurex,D:\\AYUSHWORKING\AYUSHREADY\train\Pedaliummurex\seeds,350,418,140,140,0
RedPeaEggplant,D:\\AYUSHWORKING\AYUSHREADY\train\RedPeaEggplant\plant,355,427,133,133,0
RingwormPlant,D:\\AYUSHWORKING\AYUSHREADY\train\RingwormPlant\Plant,325,394,196,133,0
Seedsunderleaves,D:\\AYUSHWORKING\AYUSHREADY\train\Seedsunderleaves\plant,532,518,0,0,0
SleepyPlant,D:\\AYUSHWORKING\AYUSHREADY\train\SleepyPlant\Plant,321,616,112,0,0
tallperennialgrass,D:\\AYUSHWORKING\AYUSHREADY\train\tallperennialgrass\root,412,482,0,0,154
ThornApple,D:\\AYUSHWORKING\AYUSHREADY\train\ThornApple\seeds,341,431,141,133,0
turmeric,D:\\AYUSHWORKING\AYUSHREADY\train\turmeric\root,357,552,0,0,140
Vitexnegundo,D:\\AYUSHWORKING\AYUSHREADY\train\Vitexnegundo\plant,449,461,138,0,0
WildTurmaric,D:\\AYUSHWORKING\AYUSHREADY\train\WildTurmaric\plant,357,494,0,0,196
