Names,counts
AdamantCreeper,1048
Alovera,1049
Betel,1050
Black-HoneyShrub,1049
Calotropisgigantea,1047
Caster,1048
Cinnamon,1049
ginger,1048
Henna,1048
Hibiscus,1048
HolyBasil,1048
indian Mallow,1048
Indianacalypha,1050
ivy gourd,1048
Landrina,1050
Lemongrass,1048
lime,1047
longPepper,1048
MiracleLeaf,1048
MountainKnotgrass,1048
Neem,1048
Oregano,1050
Pedaliummurex,1048
RedPeaEggplant,1048
RingwormPlant,1048
Seedsunderleaves,1050
SleepyPlant,1049
tallperennialgrass,1048
ThornApple,1046
turmeric,1049
Vitexnegundo,1048
WildTurmaric,1047
